UNITID,unitid
INSTNM,institution name
STATE,state abbreviation
EIN,ein
OPEID,opeid
INSTFUNDINGTYPE,institution ownership and financial structure
DEGREETOT,total number of people who receive a degree
ENROLLTOT,total number of enrollment in fall 2023
ACADEMICPOPM,number of instructional staff men
ACADEMICPOPF,number of instructional staff women
SALARYTOTM,total salary outlay men
SALARYTOTF,total salary outlay women
SALARYPPM,average salary outlay men
SALARYPPF,average salary outlay women
NONACDWOMENPCT,non academic staff women percentage
NONACDBLKPCT,black percentage for non academic staff
NONACDHSPPCT,hispanic percentage for non academic staff
NONACDASIAPCT,asian percentage for non academic staff
ACDWOMENPCT,academic staff women percentage
ACDBLKPCT,black percentage for academic staff
ACDHSPPCT,hispanic percentage for academic staff
ACDASIAPCT,asian percentage for academic staff
YEARLYHATECRIME,average number of hate crime per year (from 2020-2022)
YEARLYHATECRIME1K,number of hate crimes for 1K student population per year
YEARLYVAWA,average number of vawa crimes per year (from 2020-2022)
YEARLYVAWA1K,number of vawa crimes for 1K student population per year
HASDAYCARE,if school offer daycare
