NAME,DESCRIPTION
MURD20,Murder 2020
RAPE20,Rape 2020
FOND20,Fondling 2020
INCE20,Incest 2020
STAT20,Statutory Rape 2020
ROBBE20,Robbery 2020
AGG_A20,Aggravated Assault 2020
BURGLA20,Burglary 2020
VEHIC20,Motor Vehicle Theft 2020
ARSON20,Arson 2020
SIM_A20,Simple Assault 2020
LAR_T20,Larceny 2020
INTIM20,Intimidation 2020
VANDAL20,Destruction/Damage/Vandalism 2020
MURD21,Murder 2021
RAPE21,Rape 2021
FOND21,Fondling 2021
INCE21,Incest 2021
STAT21,Statutory Rape 2021
ROBBE21,Robbery 2021
AGG_A21,Aggravated Assault 2021
BURGLA21,Burglary 2021
VEHIC21,Motor Vehicle Theft 2021
ARSON21,Arson 2021
SIM_A21,Simple Assault 2021
LAR_T21,Larceny 2021
INTIM21,Intimidation 2021
VANDAL21,Destruction/Damage/Vandalism 2021
MURD22,Murder 2022
RAPE22,Rape 2022
FOND22,Fondling 2022
INCE22,Incest 2022
STAT22,Statutory Rape 2022
ROBBE22,Robbery 2022
AGG_A22,Aggravated Assault 2022
BURGLA22,Burglary 2022
VEHIC22,Motor Vehicle Theft 2022
ARSON22,Arson 2022
SIM_A22,Simple Assault 2022
LAR_T22,Larceny 2022
INTIM22,Intimidation 2022
VANDAL22,Destruction/Damage/Vandalism 2022
